runId,runtimeVariant,service,workFactor,endpointMode,payloadSize,concurrency,repeat,requests,failures,elapsed,requestsPerSecond,p50,p95,p99,p999,min,max,p50Nanos,p95Nanos,p99Nanos,p999Nanos,minNanos,maxNanos
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,1,2,13860,0,5.000411259s,2771.77,342.774µs,472.13µs,769.34µs,2.340084ms,179.353µs,13.69977ms,342774,472130,769340,2340084,179353,13699770
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,6,1,61249,0,5.001113848s,12247.07,412.447µs,931.131µs,1.888528ms,4.478034ms,156.191µs,18.643381ms,412447,931131,1888528,4478034,156191,18643381
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,6,2,65672,0,5.00138472s,13130.76,396.056µs,827.584µs,1.561409ms,3.25458ms,135.419µs,14.946203ms,396056,827584,1561409,3254580,135419,14946203
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,12,1,55523,0,5.00154635s,11101.17,762.52µs,2.890138ms,5.886501ms,15.12943ms,115.152µs,38.96329ms,762520,2890138,5886501,15129430,115152,38963290
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,12,2,74327,0,5.000657027s,14863.45,639.268µs,1.840057ms,3.942172ms,9.121465ms,122.325µs,17.999267ms,639268,1840057,3942172,9121465,122325,17999267
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,24,1,86183,0,5.016636109s,17179.44,996.922µs,3.804722ms,7.960338ms,14.692727ms,122.647µs,33.77893ms,996922,3804722,7960338,14692727,122647,33778930
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,24,2,109545,0,5.001234082s,21903.59,881.512µs,2.723635ms,4.83399ms,8.492202ms,124.534µs,15.458021ms,881512,2723635,4833990,8492202,124534,15458021
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,48,1,102005,0,5.001697476s,20394.08,1.677205ms,6.630652ms,12.431233ms,26.069937ms,124.033µs,37.823358ms,1677205,6630652,12431233,26069937,124033,37823358
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,48,2,79310,0,5.001439874s,15857.43,1.989965ms,9.061468ms,16.121117ms,32.144735ms,121.467µs,46.770623ms,1989965,9061468,16121117,32144735,121467,46770623
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,96,1,115182,0,5.000919034s,23032.17,3.38349ms,10.603675ms,17.036369ms,31.281086ms,142.388µs,46.580389ms,3383490,10603675,17036369,31281086,142388,46580389
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,96,2,113213,0,5.018389594s,22559.63,3.392279ms,11.142969ms,19.345888ms,34.59078ms,137.965µs,58.236906ms,3392279,11142969,19345888,34590780,137965,58236906
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,192,1,150534,0,5.005693797s,30072.55,5.478134ms,14.984771ms,23.497657ms,49.942657ms,147.049µs,83.311441ms,5478134,14984771,23497657,49942657,147049,83311441
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,2048,192,2,131858,0,5.004651225s,26347.09,5.8671ms,18.197528ms,30.427197ms,55.765857ms,128.577µs,75.231964ms,5867100,18197528,30427197,55765857,128577,75231964
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,1,1,7747,0,5.000063813s,1549.38,582.412µs,1.088152ms,1.951014ms,3.823283ms,380.345µs,9.243103ms,582412,1088152,1951014,3823283,380345,9243103
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,1,2,8442,0,5.000155115s,1688.35,560.668µs,781.819µs,1.305645ms,4.427827ms,357.264µs,14.433012ms,560668,781819,1305645,4427827,357264,14433012
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,6,1,33562,0,5.000598306s,6711.60,726.94µs,1.745549ms,3.256597ms,8.474894ms,391.106µs,20.496314ms,726940,1745549,3256597,8474894,391106,20496314
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,6,2,30723,0,5.0007298s,6143.70,766.724µs,2.020458ms,4.125743ms,9.589275ms,400.224µs,21.116044ms,766724,2020458,4125743,9589275,400224,21116044
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,12,1,41897,0,5.002819461s,8374.68,1.200335ms,3.065863ms,5.575077ms,11.21667ms,389.258µs,19.029279ms,1200335,3065863,5575077,11216670,389258,19029279
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,12,2,37610,0,5.000886347s,7520.67,1.2637ms,3.716042ms,7.038523ms,13.135752ms,368.265µs,24.610861ms,1263700,3716042,7038523,13135752,368265,24610861
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,24,1,49186,0,5.001133957s,9834.97,2.092037ms,5.29025ms,8.248166ms,13.078066ms,339.752µs,27.76557ms,2092037,5290250,8248166,13078066,339752,27765570
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,24,2,53100,0,5.001914752s,10615.93,1.914735ms,4.707347ms,8.085253ms,22.867062ms,356.802µs,40.345054ms,1914735,4707347,8085253,22867062,356802,40345054
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,48,1,54959,0,5.003933284s,10983.16,3.862096ms,9.282904ms,13.450138ms,23.785279ms,387.103µs,46.965125ms,3862096,9282904,13450138,23785279,387103,46965125
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,48,2,56445,0,5.00590369s,11275.69,3.793499ms,8.751218ms,13.540049ms,19.354195ms,354.159µs,29.527079ms,3793499,8751218,13540049,19354195,354159,29527079
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,96,1,36443,0,5.010876397s,7272.78,8.725477ms,44.702849ms,78.091059ms,137.470256ms,369.861µs,189.165223ms,8725477,44702849,78091059,137470256,369861,189165223
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,96,2,53913,0,5.006943067s,10767.65,7.822965ms,19.321235ms,26.800116ms,36.029315ms,376.202µs,51.592574ms,7822965,19321235,26800116,36029315,376202,51592574
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,192,1,47121,0,5.071091344s,9292.08,17.660479ms,46.206577ms,66.186273ms,95.742507ms,378.051µs,128.599122ms,17660479,46206577,66186273,95742507,378051,128599122
sequential_generated_serious_20260607_165332,oracle-jdk-jvm,helidon,10,generated,8192,192,2,57696,0,5.015953188s,11502.50,15.299266ms,34.496275ms,48.04638ms,72.143805ms,373.061µs,99.225339ms,15299266,34496275,48046380,72143805,373061,99225339
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,1,1,20107,0,5.000080051s,4021.34,234.869µs,326.848µs,524.718µs,2.225123ms,40.842µs,9.238473ms,234869,326848,524718,2225123,40842,9238473
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,1,2,15536,0,5.01052291s,3100.67,262.393µs,568.719µs,1.657433ms,6.064724ms,37.399µs,25.507656ms,262393,568719,1657433,6064724,37399,25507656
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,6,1,57437,0,5.001273397s,11484.48,344.924µs,1.234071ms,4.009794ms,15.43454ms,46.706µs,30.869425ms,344924,1234071,4009794,15434540,46706,30869425
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,6,2,82452,0,5.000609552s,16488.39,297.942µs,736.923µs,1.645035ms,4.67779ms,49.559µs,11.013096ms,297942,736923,1645035,4677790,49559,11013096
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,12,1,93947,0,5.002781433s,18778.95,425.286µs,1.746499ms,4.843429ms,11.451661ms,42.947µs,18.089369ms,425286,1746499,4843429,11451661,42947,18089369
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,12,2,115723,0,5.001572159s,23137.32,381.607µs,1.239206ms,3.24666ms,8.583523ms,40.063µs,39.223188ms,381607,1239206,3246660,8583523,40063,39223188
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,24,1,159701,0,5.001382581s,31931.37,485.906µs,2.30571ms,5.298887ms,11.763686ms,35.952µs,26.775264ms,485906,2305710,5298887,11763686,35952,26775264
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,24,2,135435,0,5.006367576s,27052.55,531.211µs,2.764994ms,6.926798ms,17.666867ms,36.299µs,56.287956ms,531211,2764994,6926798,17666867,36299,56287956
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,48,1,150222,0,5.001025787s,30038.24,828.536µs,5.752508ms,12.372226ms,27.629968ms,37.007µs,52.568987ms,828536,5752508,12372226,27629968,37007,52568987
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,48,2,91182,0,5.002645149s,18226.76,1.09245ms,10.8593ms,20.61649ms,36.773275ms,36.508µs,82.377078ms,1092450,10859300,20616490,36773275,36508,82377078
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,96,1,139677,0,5.007228087s,27895.07,1.776336ms,13.105881ms,22.797879ms,34.390305ms,37.385µs,57.514222ms,1776336,13105881,22797879,34390305,37385,57514222
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,96,2,123816,0,5.001168017s,24757.42,1.650507ms,15.737507ms,27.53213ms,54.508026ms,37.931µs,84.848452ms,1650507,15737507,27532130,54508026,37931,84848452
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,192,1,166177,0,5.006142238s,33194.62,3.379793ms,20.984424ms,31.290023ms,46.791547ms,42.294µs,66.506396ms,3379793,20984424,31290023,46791547,42294,66506396
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,7,192,2,166557,0,5.014749689s,33213.42,3.288046ms,21.686724ms,32.337859ms,43.315427ms,38.71µs,59.148918ms,3288046,21686724,32337859,43315427,38710,59148918
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,1,1,18739,0,5.001781713s,3746.46,101.726µs,723.74µs,4.237426ms,10.319282ms,34.793µs,20.149688ms,101726,723740,4237426,10319282,34793,20149688
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,1,2,14628,0,5.000165311s,2925.50,269.404µs,483.282µs,2.575852ms,12.257243ms,43.503µs,34.503916ms,269404,483282,2575852,12257243,43503,34503916
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,6,1,85584,0,5.000889891s,17113.75,294.605µs,623.117µs,1.36404ms,5.530604ms,59.497µs,15.973013ms,294605,623117,1364040,5530604,59497,15973013
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,6,2,77496,0,5.008324352s,15473.44,309.115µs,794.558µs,1.739009ms,4.973043ms,62.285µs,28.884292ms,309115,794558,1739009,4973043,62285,28884292
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,12,1,96129,0,5.002296948s,19216.97,434.85µs,1.579243ms,4.047533ms,12.049097ms,47.008µs,38.867568ms,434850,1579243,4047533,12049097,47008,38867568
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,12,2,73510,0,5.002869263s,14693.57,470.437µs,2.526703ms,7.013506ms,18.830793ms,42.154µs,40.192694ms,470437,2526703,7013506,18830793,42154,40192694
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,24,1,203773,0,5.00242254s,40734.86,450.964µs,1.588278ms,3.080096ms,6.479819ms,41.209µs,14.284887ms,450964,1588278,3080096,6479819,41209,14284887
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,24,2,205294,0,5.001875907s,41043.40,454.072µs,1.523431ms,2.949203ms,6.207793ms,38.73µs,27.944494ms,454072,1523431,2949203,6207793,38730,27944494
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,48,1,256193,0,5.002572908s,51212.25,666.843µs,2.698467ms,5.003105ms,14.195925ms,42.122µs,32.919564ms,666843,2698467,5003105,14195925,42122,32919564
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,48,2,247577,0,5.003535677s,49480.41,661.49µs,2.904582ms,5.489134ms,12.400449ms,43.945µs,26.964205ms,661490,2904582,5489134,12400449,43945,26964205
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,96,1,248497,0,5.002810994s,49671.47,1.223202ms,6.493082ms,11.59678ms,17.81701ms,48.002µs,28.866067ms,1223202,6493082,11596780,17817010,48002,28866067
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,96,2,246636,0,5.002933609s,49298.28,1.176126ms,6.319481ms,13.079132ms,29.767566ms,47.409µs,47.884608ms,1176126,6319481,13079132,29767566,47409,47884608
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,192,1,370534,0,5.002814552s,74065.11,1.862028ms,7.715556ms,11.438891ms,16.041189ms,48.052µs,32.242116ms,1862028,7715556,11438891,16041189,48052,32242116
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,128,192,2,357599,0,5.009934448s,71377.98,1.801268ms,8.144417ms,14.646946ms,27.187861ms,48.059µs,40.215944ms,1801268,8144417,14646946,27187861,48059,40215944
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,1,1,14316,0,5.000173263s,2863.10,337.356µs,438.665µs,649.873µs,1.676832ms,192.006µs,13.298752ms,337356,438665,649873,1676832,192006,13298752
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,1,2,15023,0,5.000192613s,3004.48,318.841µs,430.67µs,603.473µs,1.724621ms,192.214µs,6.97128ms,318841,430670,603473,1724621,192214,6971280
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,6,1,51492,0,5.00132804s,10295.67,442.388µs,1.260226ms,2.855436ms,7.242783ms,143.477µs,29.23952ms,442388,1260226,2855436,7242783,143477,29239520
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,6,2,55268,0,5.000563678s,11052.35,418.855µs,1.099529ms,2.671229ms,8.043427ms,140.821µs,38.027694ms,418855,1099529,2671229,8043427,140821,38027694
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,12,1,73617,0,5.002879061s,14714.93,637.599µs,1.869658ms,4.067282ms,9.110673ms,125.412µs,14.136646ms,637599,1869658,4067282,9110673,125412,14136646
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,12,2,93651,0,5.001208977s,18725.67,542.588µs,1.277577ms,2.610924ms,7.030652ms,116.308µs,28.417402ms,542588,1277577,2610924,7030652,116308,28417402
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,24,1,115720,0,5.001576826s,23136.70,811.801µs,2.382064ms,5.419021ms,14.118543ms,111.785µs,36.937117ms,811801,2382064,5419021,14118543,111785,36937117
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,24,2,113185,0,5.00162955s,22629.62,841.883µs,2.558264ms,4.934513ms,10.34115ms,117.302µs,43.735866ms,841883,2558264,4934513,10341150,117302,43735866
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,48,1,142869,0,5.001800564s,28563.51,1.355748ms,4.118531ms,6.848385ms,19.384943ms,126.122µs,59.843557ms,1355748,4118531,6848385,19384943,126122,59843557
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,48,2,139219,0,5.00214377s,27831.87,1.389515ms,4.322119ms,7.133695ms,11.973187ms,131.02µs,37.31539ms,1389515,4322119,7133695,11973187,131020,37315390
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,96,1,151334,0,5.002843609s,30249.60,2.694301ms,7.696515ms,11.59339ms,20.792754ms,125.945µs,44.847639ms,2694301,7696515,11593390,20792754,125945,44847639
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,96,2,136065,0,5.002445451s,27199.70,2.818952ms,8.992328ms,15.232501ms,28.15128ms,120.795µs,54.5417ms,2818952,8992328,15232501,28151280,120795,54541700
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,192,1,152778,0,5.01437068s,30468.03,5.420405ms,15.554581ms,22.188053ms,38.33483ms,144.832µs,60.838119ms,5420405,15554581,22188053,38334830,144832,60838119
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,2048,192,2,137389,0,5.040552416s,27256.73,5.832403ms,17.314565ms,25.104983ms,37.918136ms,131.08µs,60.681813ms,5832403,17314565,25104983,37918136,131080,60681813
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,1,1,6508,0,5.000430188s,1301.49,627.392µs,1.405547ms,3.832537ms,9.43033ms,374.774µs,20.653829ms,627392,1405547,3832537,9430330,374774,20653829
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,1,2,9633,0,5.00043523s,1926.43,496.445µs,672.976µs,910.745µs,1.440317ms,353.05µs,3.397349ms,496445,672976,910745,1440317,353050,3397349
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,6,1,36579,0,5.00071658s,7314.75,712.562µs,1.433717ms,2.429899ms,4.691605ms,365.679µs,15.156811ms,712562,1433717,2429899,4691605,365679,15156811
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,6,2,36353,0,5.000725555s,7269.55,694.255µs,1.466684ms,3.045061ms,8.033104ms,376.777µs,23.592331ms,694255,1466684,3045061,8033104,376777,23592331
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,12,1,39604,0,5.001739026s,7918.05,1.257146ms,3.323277ms,5.740356ms,10.980884ms,387.892µs,16.514698ms,1257146,3323277,5740356,10980884,387892,16514698
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,12,2,45004,0,5.001198946s,8998.64,1.145118ms,2.704394ms,4.758488ms,9.480006ms,386.2µs,20.282416ms,1145118,2704394,4758488,9480006,386200,20282416
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,24,1,40862,0,5.002074534s,8169.01,2.408933ms,6.868147ms,11.452172ms,17.983377ms,385.653µs,34.545361ms,2408933,6868147,11452172,17983377,385653,34545361
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,24,2,46893,0,5.001131159s,9376.48,2.137323ms,5.869004ms,9.280996ms,20.010575ms,372.133µs,36.401786ms,2137323,5869004,9280996,20010575,372133,36401786
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,48,1,56504,0,5.001427554s,11297.57,3.836554ms,8.853704ms,12.638806ms,18.369686ms,386.699µs,46.549509ms,3836554,8853704,12638806,18369686,386699,46549509
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,48,2,45719,0,5.004027743s,9136.44,4.527596ms,11.286212ms,17.178198ms,26.806345ms,412.969µs,47.663054ms,4527596,11286212,17178198,26806345,412969,47663054
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,96,1,45983,0,5.008584711s,9180.84,8.679791ms,24.139206ms,36.43354ms,67.116218ms,369.61µs,87.276031ms,8679791,24139206,36433540,67116218,369610,87276031
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,96,2,58536,0,5.007326907s,11690.07,7.26385ms,17.584591ms,23.888817ms,41.349212ms,359.026µs,60.365977ms,7263850,17584591,23888817,41349212,359026,60365977
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,192,1,65013,0,5.021036652s,12948.12,13.587643ms,29.101547ms,39.538663ms,50.760588ms,377.258µs,71.745124ms,13587643,29101547,39538663,50760588,377258,71745124
sequential_generated_serious_20260607_165332,oracle-jdk-leyden-aot,helidon,10,generated,8192,192,2,64148,0,5.011613848s,12799.87,13.642596ms,29.295417ms,38.427864ms,49.217376ms,365.093µs,72.147618ms,13642596,29295417,38427864,49217376,365093,72147618
